"SessionName","Type","Room","Date","StartTime","EndTime"
"Plenary session","Open","1", "21/11/2017", "10:00:00 AM","11:00:00 AM"
"Welcome cocktail","Break","", "21/11/2017", "11:00:00 AM","01:00:00 PM"
"Telecomm.networks","Session","2", "21/11/2017", "01:00:00 PM","03:00:00 PM"
"Radio communications","Session","3", "21/11/2017", "01:00:00 PM","03:00:00 PM"
"Coffee ","Break","", "21/11/2017", "03:30:00 PM","04:00:00 PM"
"Signal processing","Session","2", "21/11/2017", "04:00:00 PM","06:00:00 PM"
"Hardware systems","Session","3", "21/11/2017", "04:00:00 PM","06:00:00 PM"
"Software systems 1","Session","2", "22/11/2017", "08:30:00 AM","10:30:00 AM"
"Coffee","Break","", "22/11/2017", "10:30:00 AM","11:00:00 AM"
"Software systems 2","Session","3", "22/11/2017", "11:00:00 AM","01:00:00 PM"
"Lunch","Break","", "22/11/2017", "01:00:00 PM","02:00:00 PM"
"Workshop IoT","WS","2", "22/11/2017", "02:00:00 PM","05:00:00 PM"
"Workshop PhD","WS","3", "22/11/2017", "02:00:00 PM","05:00:00 PM"
"Workshop SensorNets","WS","4", "22/11/2017", "02:00:00 PM","05:00:00 PM"
"Workshop CloudTech","WS","5", "22/11/2017", "02:00:00 PM","05:00:00 PM"
"Closing ceremony","Close","1", "22/11/2017", "05:00:00 PM","06:00:00 PM"
